Weighted Random Sampling Comparison on 100000 Trials
---------------------------------------------
Difference is bigger than 1% p in the following indices: []
Elapsed time: Fast: 37.086494417s, Fenwick: 953.474ms

---------------------------------------------
Probability(%) of each element being selected:
Element	| Fast	| Fenw	| Diff(Max-Min)
48	| 0.24	| 0.22	| 0.01
49	| 0.29	| 0.31	| 0.02
50	| 0.01	| 0.01	| 0.00
51	| 0.06	| 0.05	| 0.01
52	| 0.21	| 0.20	| 0.01
53	| 0.19	| 0.23	| 0.04
54	| 0.22	| 0.18	| 0.04
55	| 0.15	| 0.20	| 0.05
56	| 0.16	| 0.12	| 0.04
57	| 0.01	| 0.01	| 0.01
58	| 0.18	| 0.18	| 0.01
59	| 0.11	| 0.13	| 0.02
60	| 0.33	| 0.30	| 0.03
61	| 0.20	| 0.24	| 0.04
62	| 0.02	| 0.02	| 0.00
63	| 0.22	| 0.24	| 0.02
64	| 0.22	| 0.21	| 0.01
65	| 0.34	| 0.33	| 0.01
66	| 0.03	| 0.03	| 0.00
67	| 0.00	| 0.00	| 0.00
68	| 0.06	| 0.07	| 0.01
69	| 0.07	| 0.08	| 0.01
70	| 0.12	| 0.11	| 0.00
71	| 0.14	| 0.13	| 0.01
72	| 0.08	| 0.09	| 0.01
73	| 0.21	| 0.20	| 0.01
74	| 0.18	| 0.15	| 0.03
75	| 0.11	| 0.09	| 0.02
76	| 0.25	| 0.27	| 0.02
77	| 0.09	| 0.09	| 0.00
78	| 0.11	| 0.11	| 0.00
79	| 0.21	| 0.20	| 0.01
80	| 0.22	| 0.23	| 0.00
81	| 0.20	| 0.19	| 0.01
82	| 0.24	| 0.22	| 0.03
83	| 0.12	| 0.14	| 0.02
84	| 0.09	| 0.09	| 0.00
85	| 0.01	| 0.03	| 0.01
86	| 0.11	| 0.12	| 0.01
87	| 0.16	| 0.15	| 0.01
88	| 0.32	| 0.31	| 0.00
89	| 0.00	| 0.01	| 0.01
90	| 0.29	| 0.30	| 0.01
91	| 0.05	| 0.06	| 0.00
92	| 0.13	| 0.10	| 0.03
93	| 0.20	| 0.23	| 0.03
94	| 0.14	| 0.16	| 0.01
95	| 0.26	| 0.27	| 0.02
96	| 0.21	| 0.24	| 0.03
97	| 0.15	| 0.16	| 0.00
98	| 0.31	| 0.30	| 0.01
99	| 0.23	| 0.26	| 0.03
100	| 0.04	| 0.05	| 0.01
101	| 0.27	| 0.26	| 0.01
102	| 0.33	| 0.32	| 0.01
103	| 0.31	| 0.34	| 0.04
104	| 0.15	| 0.16	| 0.01
105	| 0.03	| 0.04	| 0.01
106	| 0.13	| 0.13	| 0.00
107	| 0.06	| 0.05	| 0.01
108	| 0.11	| 0.11	| 0.00
109	| 0.15	| 0.12	| 0.02
110	| 0.06	| 0.06	| 0.00
111	| 0.18	| 0.17	| 0.01
112	| 0.08	| 0.07	| 0.02
113	| 0.21	| 0.22	| 0.00
114	| 0.19	| 0.21	| 0.02
115	| 0.22	| 0.22	| 0.00
116	| 0.13	| 0.13	| 0.00
117	| 0.31	| 0.31	| 0.00
118	| 0.21	| 0.21	| 0.00
119	| 0.18	| 0.17	| 0.00
120	| 0.13	| 0.14	| 0.01
121	| 0.26	| 0.28	| 0.02
122	| 0.24	| 0.24	| 0.01
123	| 0.10	| 0.09	| 0.01
124	| 0.23	| 0.25	| 0.02
125	| 0.01	| 0.01	| 0.00
126	| 0.04	| 0.04	| 0.00
127	| 0.21	| 0.23	| 0.02
128	| 0.27	| 0.31	| 0.03
129	| 0.08	| 0.06	| 0.02
130	| 0.03	| 0.03	| 0.00
131	| 0.20	| 0.19	| 0.01
132	| 0.27	| 0.30	| 0.03
133	| 0.09	| 0.10	| 0.01
134	| 0.34	| 0.31	| 0.03
135	| 0.04	| 0.05	| 0.00
136	| 0.18	| 0.22	| 0.04
137	| 0.00	| 0.00	| 0.00
138	| 0.27	| 0.29	| 0.02
139	| 0.21	| 0.20	| 0.01
140	| 0.15	| 0.15	| 0.00
141	| 0.21	| 0.19	| 0.02
142	| 0.17	| 0.17	| 0.00
143	| 0.14	| 0.15	| 0.01
144	| 0.19	| 0.19	| 0.00
145	| 0.32	| 0.29	| 0.03
146	| 0.13	| 0.13	| 0.00
147	| 0.04	| 0.05	| 0.01
148	| 0.35	| 0.33	| 0.02
149	| 0.01	| 0.02	| 0.00
150	| 0.06	| 0.06	| 0.00
151	| 0.16	| 0.14	| 0.02
152	| 0.13	| 0.12	| 0.00
153	| 0.10	| 0.09	| 0.01
154	| 0.16	| 0.20	| 0.04
155	| 0.24	| 0.24	| 0.01
156	| 0.15	| 0.14	| 0.01
157	| 0.17	| 0.17	| 0.00
158	| 0.13	| 0.15	| 0.01
159	| 0.26	| 0.24	| 0.02
160	| 0.10	| 0.12	| 0.02
161	| 0.07	| 0.08	| 0.01
162	| 0.13	| 0.13	| 0.00
163	| 0.14	| 0.15	| 0.01
164	| 0.25	| 0.24	| 0.01
165	| 0.16	| 0.14	| 0.02
166	| 0.12	| 0.10	| 0.02
167	| 0.07	| 0.08	| 0.01
168	| 0.12	| 0.12	| 0.00
169	| 0.11	| 0.09	| 0.02
170	| 0.33	| 0.33	| 0.00
171	| 0.21	| 0.24	| 0.03
172	| 0.27	| 0.32	| 0.05
173	| 0.32	| 0.31	| 0.01
174	| 0.21	| 0.17	| 0.04
175	| 0.11	| 0.11	| 0.00
176	| 0.20	| 0.20	| 0.01
177	| 0.04	| 0.04	| 0.00
178	| 0.09	| 0.11	| 0.02
179	| 0.21	| 0.22	| 0.01
180	| 0.18	| 0.17	| 0.01
181	| 0.24	| 0.23	| 0.00
182	| 0.07	| 0.06	| 0.01
183	| 0.13	| 0.10	| 0.03
184	| 0.03	| 0.01	| 0.01
185	| 0.00	| 0.00	| 0.00
186	| 0.29	| 0.29	| 0.00
187	| 0.19	| 0.17	| 0.02
188	| 0.26	| 0.22	| 0.04
189	| 0.27	| 0.27	| 0.00
190	| 0.19	| 0.17	| 0.02
191	| 0.31	| 0.32	| 0.01
192	| 0.21	| 0.21	| 0.00
193	| 0.04	| 0.03	| 0.01
194	| 0.30	| 0.29	| 0.01
195	| 0.30	| 0.30	| 0.00
196	| 0.05	| 0.07	| 0.02
197	| 0.04	| 0.04	| 0.00
198	| 0.08	| 0.06	| 0.01
199	| 0.04	| 0.03	| 0.01
200	| 0.18	| 0.21	| 0.03
201	| 0.16	| 0.18	| 0.02
202	| 0.01	| 0.01	| 0.00
203	| 0.13	| 0.10	| 0.03
204	| 0.26	| 0.27	| 0.01
205	| 0.01	| 0.01	| 0.00
206	| 0.04	| 0.05	| 0.01
207	| 0.02	| 0.02	| 0.00
208	| 0.24	| 0.21	| 0.02
209	| 0.21	| 0.20	| 0.01
210	| 0.22	| 0.25	| 0.04
211	| 0.18	| 0.22	| 0.04
212	| 0.08	| 0.11	| 0.03
213	| 0.05	| 0.05	| 0.00
214	| 0.27	| 0.27	| 0.00
215	| 0.09	| 0.06	| 0.03
216	| 0.30	| 0.27	| 0.03
217	| 0.06	| 0.07	| 0.01
218	| 0.03	| 0.03	| 0.01
219	| 0.13	| 0.13	| 0.00
220	| 0.20	| 0.19	| 0.01
221	| 0.03	| 0.02	| 0.01
222	| 0.21	| 0.19	| 0.01
223	| 0.29	| 0.34	| 0.05
224	| 0.01	| 0.01	| 0.00
225	| 0.27	| 0.27	| 0.00
226	| 0.03	| 0.03	| 0.01
227	| 0.21	| 0.18	| 0.02
228	| 0.28	| 0.26	| 0.02
229	| 0.10	| 0.10	| 0.01
230	| 0.13	| 0.11	| 0.02
231	| 0.07	| 0.09	| 0.02
232	| 0.24	| 0.28	| 0.04
233	| 0.29	| 0.26	| 0.03
234	| 0.06	| 0.05	| 0.01
235	| 0.09	| 0.09	| 0.00
236	| 0.30	| 0.28	| 0.01
237	| 0.10	| 0.10	| 0.00
238	| 0.33	| 0.33	| 0.00
239	| 0.10	| 0.10	| 0.00
240	| 0.24	| 0.22	| 0.02
241	| 0.13	| 0.12	| 0.01
242	| 0.05	| 0.06	| 0.00
243	| 0.16	| 0.14	| 0.02
244	| 0.04	| 0.05	| 0.01
245	| 0.36	| 0.33	| 0.03
246	| 0.06	| 0.04	| 0.01
247	| 0.04	| 0.04	| 0.00
248	| 0.33	| 0.35	| 0.02
249	| 0.16	| 0.18	| 0.03
250	| 0.13	| 0.14	| 0.01
251	| 0.27	| 0.32	| 0.05
252	| 0.15	| 0.16	| 0.01
253	| 0.01	| 0.02	| 0.00
254	| 0.18	| 0.19	| 0.01
255	| 0.29	| 0.30	| 0.02
256	| 0.12	| 0.16	| 0.04
257	| 0.16	| 0.19	| 0.03
258	| 0.04	| 0.05	| 0.01
259	| 0.19	| 0.18	| 0.01
260	| 0.14	| 0.14	| 0.00
261	| 0.24	| 0.20	| 0.03
262	| 0.04	| 0.04	| 0.00
263	| 0.19	| 0.23	| 0.04
264	| 0.29	| 0.22	| 0.07
265	| 0.24	| 0.25	| 0.01
266	| 0.16	| 0.17	| 0.01
267	| 0.11	| 0.13	| 0.02
268	| 0.05	| 0.05	| 0.00
269	| 0.19	| 0.20	| 0.01
270	| 0.04	| 0.04	| 0.00
271	| 0.06	| 0.07	| 0.01
272	| 0.30	| 0.29	| 0.01
273	| 0.29	| 0.27	| 0.02
274	| 0.12	| 0.13	| 0.01
275	| 0.22	| 0.25	| 0.03
276	| 0.33	| 0.31	| 0.02
277	| 0.20	| 0.20	| 0.00
278	| 0.29	| 0.31	| 0.02
279	| 0.16	| 0.21	| 0.05
280	| 0.19	| 0.21	| 0.03
281	| 0.32	| 0.30	| 0.02
282	| 0.10	| 0.08	| 0.03
283	| 0.24	| 0.23	| 0.01
284	| 0.20	| 0.22	| 0.02
285	| 0.14	| 0.13	| 0.02
286	| 0.12	| 0.11	| 0.01
287	| 0.27	| 0.26	| 0.01
288	| 0.08	| 0.07	| 0.01
289	| 0.12	| 0.13	| 0.01
290	| 0.20	| 0.18	| 0.02
291	| 0.18	| 0.18	| 0.00
292	| 0.04	| 0.02	| 0.02
293	| 0.04	| 0.04	| 0.00
294	| 0.14	| 0.18	| 0.03
295	| 0.26	| 0.30	| 0.04
296	| 0.27	| 0.28	| 0.00
297	| 0.02	| 0.02	| 0.01
298	| 0.24	| 0.21	| 0.03
299	| 0.09	| 0.10	| 0.01
300	| 0.09	| 0.09	| 0.00
301	| 0.10	| 0.09	| 0.00
302	| 0.08	| 0.07	| 0.01
303	| 0.07	| 0.06	| 0.01
304	| 0.25	| 0.27	| 0.02
305	| 0.24	| 0.26	| 0.02
306	| 0.32	| 0.29	| 0.03
307	| 0.05	| 0.05	| 0.01
308	| 0.28	| 0.31	| 0.03
309	| 0.29	| 0.28	| 0.01
310	| 0.15	| 0.16	| 0.01
311	| 0.27	| 0.32	| 0.05
312	| 0.10	| 0.09	| 0.01
313	| 0.14	| 0.12	| 0.02
314	| 0.29	| 0.28	| 0.01
315	| 0.32	| 0.30	| 0.02
316	| 0.09	| 0.10	| 0.01
317	| 0.14	| 0.16	| 0.02
318	| 0.07	| 0.06	| 0.01
319	| 0.31	| 0.25	| 0.06
320	| 0.09	| 0.09	| 0.00
321	| 0.07	| 0.07	| 0.00
322	| 0.23	| 0.25	| 0.02
323	| 0.32	| 0.31	| 0.01
324	| 0.00	| 0.00	| 0.00
325	| 0.20	| 0.21	| 0.01
326	| 0.08	| 0.09	| 0.01
327	| 0.16	| 0.14	| 0.02
328	| 0.35	| 0.34	| 0.01
329	| 0.09	| 0.10	| 0.01
330	| 0.12	| 0.13	| 0.02
331	| 0.33	| 0.33	| 0.00
332	| 0.23	| 0.32	| 0.08
333	| 0.21	| 0.22	| 0.02
334	| 0.16	| 0.14	| 0.01
335	| 0.13	| 0.14	| 0.01
336	| 0.20	| 0.21	| 0.01
337	| 0.07	| 0.07	| 0.00
338	| 0.25	| 0.24	| 0.00
339	| 0.02	| 0.03	| 0.00
340	| 0.04	| 0.03	| 0.01
341	| 0.12	| 0.13	| 0.02
342	| 0.07	| 0.08	| 0.01
343	| 0.12	| 0.11	| 0.01
344	| 0.02	| 0.03	| 0.01
345	| 0.05	| 0.04	| 0.01
346	| 0.26	| 0.25	| 0.01
347	| 0.15	| 0.15	| 0.01
348	| 0.25	| 0.28	| 0.03
349	| 0.00	| 0.00	| 0.00
350	| 0.05	| 0.05	| 0.00
351	| 0.04	| 0.04	| 0.00
352	| 0.17	| 0.15	| 0.02
353	| 0.30	| 0.32	| 0.02
354	| 0.07	| 0.07	| 0.00
355	| 0.31	| 0.33	| 0.02
356	| 0.28	| 0.28	| 0.00
357	| 0.14	| 0.16	| 0.01
358	| 0.14	| 0.14	| 0.00
359	| 0.01	| 0.01	| 0.00
360	| 0.15	| 0.15	| 0.00
361	| 0.09	| 0.09	| 0.00
362	| 0.21	| 0.22	| 0.01
363	| 0.30	| 0.30	| 0.01
364	| 0.17	| 0.15	| 0.01
365	| 0.18	| 0.17	| 0.02
366	| 0.11	| 0.12	| 0.00
367	| 0.01	| 0.00	| 0.01
368	| 0.14	| 0.14	| 0.00
369	| 0.31	| 0.29	| 0.02
370	| 0.04	| 0.03	| 0.01
371	| 0.01	| 0.01	| 0.00
372	| 0.11	| 0.12	| 0.01
373	| 0.08	| 0.07	| 0.01
374	| 0.16	| 0.17	| 0.01
375	| 0.33	| 0.32	| 0.01
376	| 0.05	| 0.07	| 0.02
377	| 0.21	| 0.23	| 0.02
378	| 0.08	| 0.10	| 0.01
379	| 0.01	| 0.01	| 0.00
380	| 0.26	| 0.23	| 0.03
381	| 0.07	| 0.06	| 0.02
382	| 0.26	| 0.29	| 0.03
383	| 0.04	| 0.05	| 0.01
384	| 0.09	| 0.08	| 0.01
385	| 0.34	| 0.33	| 0.00
386	| 0.15	| 0.15	| 0.00
387	| 0.19	| 0.17	| 0.02
388	| 0.01	| 0.01	| 0.01
389	| 0.31	| 0.30	| 0.01
390	| 0.11	| 0.12	| 0.01
391	| 0.33	| 0.31	| 0.02
392	| 0.23	| 0.23	| 0.00
393	| 0.08	| 0.07	| 0.02
394	| 0.15	| 0.17	| 0.01
395	| 0.16	| 0.15	| 0.01
396	| 0.14	| 0.15	| 0.01
397	| 0.31	| 0.33	| 0.02
398	| 0.18	| 0.18	| 0.00
399	| 0.07	| 0.07	| 0.01
400	| 0.04	| 0.03	| 0.02
401	| 0.32	| 0.26	| 0.06
402	| 0.15	| 0.14	| 0.01
403	| 0.09	| 0.10	| 0.01
404	| 0.18	| 0.17	| 0.01
405	| 0.27	| 0.27	| 0.00
406	| 0.19	| 0.19	| 0.00
407	| 0.17	| 0.18	| 0.01
408	| 0.19	| 0.19	| 0.00
409	| 0.12	| 0.11	| 0.01
410	| 0.17	| 0.19	| 0.02
411	| 0.07	| 0.07	| 0.00
412	| 0.18	| 0.18	| 0.00
413	| 0.22	| 0.23	| 0.01
414	| 0.34	| 0.32	| 0.02
415	| 0.07	| 0.07	| 0.00
416	| 0.11	| 0.14	| 0.02
417	| 0.09	| 0.10	| 0.01
418	| 0.18	| 0.19	| 0.01
419	| 0.31	| 0.29	| 0.02
420	| 0.12	| 0.12	| 0.00
421	| 0.29	| 0.29	| 0.01
422	| 0.12	| 0.15	| 0.03
423	| 0.03	| 0.04	| 0.01
424	| 0.21	| 0.22	| 0.01
425	| 0.09	| 0.09	| 0.00
426	| 0.26	| 0.27	| 0.01
427	| 0.00	| 0.00	| 0.00
428	| 0.14	| 0.12	| 0.02
429	| 0.31	| 0.28	| 0.03
430	| 0.28	| 0.30	| 0.02
431	| 0.11	| 0.10	| 0.00
432	| 0.31	| 0.24	| 0.07
433	| 0.18	| 0.19	| 0.01
434	| 0.03	| 0.02	| 0.00
435	| 0.07	| 0.06	| 0.01
436	| 0.17	| 0.18	| 0.01
437	| 0.19	| 0.21	| 0.02
438	| 0.15	| 0.16	| 0.01
439	| 0.18	| 0.18	| 0.01
440	| 0.15	| 0.14	| 0.00
441	| 0.27	| 0.25	| 0.02
442	| 0.27	| 0.27	| 0.00
443	| 0.06	| 0.07	| 0.01
444	| 0.04	| 0.04	| 0.00
445	| 0.07	| 0.09	| 0.02
446	| 0.22	| 0.21	| 0.01
447	| 0.04	| 0.03	| 0.01
448	| 0.03	| 0.02	| 0.01
449	| 0.19	| 0.17	| 0.02
450	| 0.29	| 0.31	| 0.02
451	| 0.11	| 0.09	| 0.02
452	| 0.14	| 0.11	| 0.03
453	| 0.18	| 0.18	| 0.01
454	| 0.04	| 0.04	| 0.00
455	| 0.30	| 0.33	| 0.04
456	| 0.13	| 0.14	| 0.01
457	| 0.17	| 0.15	| 0.02
458	| 0.09	| 0.10	| 0.01
459	| 0.07	| 0.08	| 0.01
460	| 0.27	| 0.25	| 0.02
461	| 0.27	| 0.23	| 0.04
462	| 0.07	| 0.07	| 0.00
463	| 0.12	| 0.10	| 0.01
464	| 0.01	| 0.01	| 0.00
465	| 0.15	| 0.20	| 0.05
466	| 0.30	| 0.31	| 0.01
467	| 0.35	| 0.34	| 0.01
468	| 0.14	| 0.17	| 0.03
469	| 0.17	| 0.16	| 0.01
470	| 0.06	| 0.06	| 0.00
471	| 0.08	| 0.08	| 0.00
472	| 0.14	| 0.14	| 0.01
473	| 0.20	| 0.19	| 0.00
474	| 0.28	| 0.33	| 0.05
475	| 0.34	| 0.34	| 0.00
476	| 0.08	| 0.08	| 0.00
477	| 0.15	| 0.13	| 0.02
478	| 0.33	| 0.32	| 0.01
479	| 0.03	| 0.04	| 0.00
480	| 0.08	| 0.07	| 0.01
481	| 0.03	| 0.03	| 0.01
482	| 0.06	| 0.06	| 0.00
483	| 0.06	| 0.06	| 0.00
484	| 0.31	| 0.30	| 0.01
485	| 0.24	| 0.26	| 0.03
486	| 0.26	| 0.21	| 0.04
487	| 0.25	| 0.22	| 0.03
488	| 0.19	| 0.20	| 0.01
489	| 0.08	| 0.07	| 0.01
490	| 0.14	| 0.15	| 0.00
491	| 0.04	| 0.03	| 0.01
492	| 0.10	| 0.09	| 0.02
493	| 0.22	| 0.21	| 0.01
494	| 0.23	| 0.24	| 0.00
495	| 0.00	| 0.00	| 0.00
496	| 0.02	| 0.02	| 0.00
497	| 0.18	| 0.19	| 0.01
498	| 0.30	| 0.29	| 0.01
499	| 0.00	| 0.00	| 0.00
500	| 0.26	| 0.24	| 0.02
501	| 0.26	| 0.27	| 0.01
502	| 0.07	| 0.04	| 0.03
503	| 0.15	| 0.16	| 0.00
504	| 0.13	| 0.17	| 0.04
505	| 0.08	| 0.08	| 0.00
506	| 0.15	| 0.19	| 0.03
507	| 0.32	| 0.32	| 0.01
508	| 0.04	| 0.04	| 0.01
509	| 0.20	| 0.19	| 0.01
510	| 0.08	| 0.06	| 0.02
511	| 0.10	| 0.07	| 0.02
512	| 0.29	| 0.26	| 0.03
513	| 0.25	| 0.28	| 0.03
514	| 0.09	| 0.09	| 0.01
515	| 0.10	| 0.10	| 0.00
516	| 0.23	| 0.19	| 0.04
517	| 0.28	| 0.27	| 0.01
518	| 0.28	| 0.32	| 0.05
519	| 0.13	| 0.13	| 0.00
520	| 0.18	| 0.13	| 0.05
521	| 0.20	| 0.19	| 0.01
522	| 0.21	| 0.21	| 0.01
523	| 0.20	| 0.20	| 0.00
524	| 0.10	| 0.10	| 0.01
525	| 0.27	| 0.25	| 0.03
526	| 0.30	| 0.33	| 0.03
527	| 0.23	| 0.28	| 0.05
528	| 0.13	| 0.14	| 0.01
529	| 0.23	| 0.22	| 0.01
530	| 0.30	| 0.29	| 0.01
531	| 0.19	| 0.22	| 0.02
532	| 0.00	| 0.00	| 0.00
533	| 0.31	| 0.33	| 0.02
534	| 0.10	| 0.11	| 0.01
535	| 0.05	| 0.06	| 0.01
536	| 0.08	| 0.06	| 0.02
537	| 0.10	| 0.08	| 0.01
538	| 0.09	| 0.09	| 0.00
539	| 0.25	| 0.22	| 0.04
540	| 0.15	| 0.15	| 0.00
541	| 0.22	| 0.22	| 0.00
542	| 0.09	| 0.09	| 0.00
543	| 0.13	| 0.15	| 0.02
544	| 0.34	| 0.33	| 0.01
545	| 0.00	| 0.00	| 0.00
546	| 0.13	| 0.13	| 0.00
547	| 0.33	| 0.27	| 0.06
548	| 0.01	| 0.01	| 0.00
549	| 0.29	| 0.29	| 0.00
550	| 0.07	| 0.08	| 0.01
551	| 0.19	| 0.20	| 0.01
552	| 0.12	| 0.12	| 0.00
553	| 0.22	| 0.24	| 0.01
554	| 0.04	| 0.04	| 0.00
555	| 0.29	| 0.33	| 0.03
556	| 0.13	| 0.12	| 0.01
557	| 0.24	| 0.23	| 0.01
558	| 0.00	| 0.00	| 0.00
559	| 0.08	| 0.08	| 0.00
560	| 0.06	| 0.07	| 0.01
561	| 0.17	| 0.17	| 0.00
562	| 0.28	| 0.24	| 0.03
563	| 0.01	| 0.01	| 0.00
564	| 0.18	| 0.22	| 0.04
565	| 0.28	| 0.33	| 0.05
566	| 0.04	| 0.03	| 0.01
567	| 0.09	| 0.09	| 0.00
568	| 0.15	| 0.17	| 0.02
569	| 0.16	| 0.17	| 0.00
570	| 0.06	| 0.06	| 0.01
571	| 0.20	| 0.18	| 0.02
572	| 0.04	| 0.04	| 0.00
573	| 0.06	| 0.07	| 0.02
574	| 0.09	| 0.10	| 0.02
575	| 0.20	| 0.17	| 0.03
576	| 0.07	| 0.06	| 0.01
577	| 0.28	| 0.28	| 0.00
578	| 0.21	| 0.24	| 0.03
579	| 0.02	| 0.02	| 0.01
580	| 0.14	| 0.12	| 0.02
581	| 0.25	| 0.20	| 0.05
582	| 0.01	| 0.01	| 0.01
583	| 0.07	| 0.07	| 0.00
584	| 0.29	| 0.27	| 0.03
585	| 0.14	| 0.15	| 0.01
586	| 0.21	| 0.22	| 0.00
587	| 0.34	| 0.34	| 0.00
588	| 0.05	| 0.05	| 0.00
589	| 0.10	| 0.11	| 0.01
590	| 0.24	| 0.22	| 0.02
591	| 0.26	| 0.26	| 0.00
592	| 0.01	| 0.01	| 0.01
593	| 0.27	| 0.24	| 0.03
594	| 0.17	| 0.16	| 0.01
595	| 0.24	| 0.24	| 0.01
596	| 0.30	| 0.33	| 0.02
597	| 0.11	| 0.10	| 0.01
598	| 0.28	| 0.27	| 0.02
599	| 0.33	| 0.32	| 0.01
600	| 0.14	| 0.12	| 0.01
601	| 0.34	| 0.28	| 0.05
602	| 0.27	| 0.30	| 0.03
603	| 0.22	| 0.22	| 0.01
604	| 0.29	| 0.31	| 0.02
605	| 0.34	| 0.30	| 0.04
606	| 0.05	| 0.06	| 0.01
607	| 0.15	| 0.15	| 0.00
608	| 0.19	| 0.15	| 0.04
609	| 0.25	| 0.26	| 0.02
610	| 0.08	| 0.08	| 0.00
611	| 0.02	| 0.02	| 0.00
612	| 0.27	| 0.26	| 0.02
613	| 0.00	| 0.00	| 0.00
614	| 0.22	| 0.26	| 0.04
615	| 0.23	| 0.19	| 0.05
616	| 0.19	| 0.20	| 0.00
617	| 0.13	| 0.12	| 0.00
618	| 0.10	| 0.10	| 0.01
619	| 0.05	| 0.07	| 0.01
620	| 0.26	| 0.27	| 0.01
621	| 0.02	| 0.02	| 0.01
622	| 0.17	| 0.16	| 0.01
623	| 0.06	| 0.07	| 0.02
624	| 0.05	| 0.06	| 0.01
625	| 0.08	| 0.10	| 0.01
626	| 0.23	| 0.20	| 0.03
627	| 0.30	| 0.36	| 0.06
628	| 0.07	| 0.07	| 0.01
629	| 0.32	| 0.35	| 0.02
630	| 0.17	| 0.18	| 0.01
631	| 0.26	| 0.26	| 0.00
632	| 0.13	| 0.13	| 0.00
633	| 0.04	| 0.03	| 0.00
634	| 0.04	| 0.04	| 0.00
635	| 0.09	| 0.09	| 0.00
636	| 0.06	| 0.04	| 0.01
637	| 0.24	| 0.22	| 0.02
638	| 0.04	| 0.03	| 0.01
639	| 0.14	| 0.15	| 0.01
640	| 0.09	| 0.08	| 0.01
641	| 0.24	| 0.22	| 0.03
642	| 0.18	| 0.15	| 0.02
643	| 0.32	| 0.31	| 0.01
644	| 0.04	| 0.05	| 0.01
645	| 0.29	| 0.28	| 0.01
646	| 0.26	| 0.25	| 0.01
647	| 0.25	| 0.27	| 0.02
648	| 0.14	| 0.14	| 0.00
649	| 0.01	| 0.01	| 0.00
650	| 0.21	| 0.17	| 0.04
651	| 0.20	| 0.21	| 0.01
652	| 0.25	| 0.26	| 0.01
653	| 0.26	| 0.27	| 0.01
654	| 0.18	| 0.18	| 0.01
655	| 0.18	| 0.16	| 0.02
656	| 0.24	| 0.24	| 0.00
657	| 0.15	| 0.14	| 0.01
658	| 0.32	| 0.32	| 0.00
659	| 0.24	| 0.22	| 0.02
660	| 0.30	| 0.28	| 0.01
661	| 0.17	| 0.15	| 0.01
662	| 0.16	| 0.19	| 0.03
663	| 0.16	| 0.16	| 0.00
664	| 0.09	| 0.10	| 0.01
665	| 0.31	| 0.34	| 0.02
666	| 0.29	| 0.28	| 0.01
667	| 0.19	| 0.18	| 0.01
668	| 0.31	| 0.32	| 0.01
669	| 0.01	| 0.00	| 0.01
670	| 0.03	| 0.04	| 0.01
671	| 0.12	| 0.15	| 0.03
672	| 0.07	| 0.08	| 0.01
673	| 0.23	| 0.20	| 0.03
674	| 0.22	| 0.23	| 0.01
675	| 0.29	| 0.28	| 0.02
676	| 0.29	| 0.29	| 0.00
677	| 0.11	| 0.11	| 0.00
678	| 0.00	| 0.01	| 0.00
679	| 0.28	| 0.29	| 0.01
680	| 0.17	| 0.19	| 0.02
681	| 0.05	| 0.04	| 0.01
682	| 0.09	| 0.11	| 0.02
683	| 0.21	| 0.19	| 0.02
684	| 0.16	| 0.15	| 0.01
685	| 0.18	| 0.16	| 0.02
