Weighted Random Sampling Comparison on 100000 Trials
---------------------------------------------
Difference is bigger than 1% p in the following indices: []
Elapsed time: Fast: 11.218044959s, Fenwick: 374.291667ms

---------------------------------------------
Probability(%) of each element being selected:
Element	| Fast	| Fenw	| Diff(Max-Min)
528	| 0.42	| 0.39	| 0.03
529	| 2.00	| 2.11	| 0.10
530	| 0.47	| 0.46	| 0.01
531	| 1.13	| 1.19	| 0.05
532	| 0.06	| 0.06	| 0.00
533	| 0.97	| 1.01	| 0.05
534	| 1.83	| 1.82	| 0.01
535	| 1.18	| 1.17	| 0.01
536	| 0.74	| 0.70	| 0.03
537	| 0.57	| 0.60	| 0.03
538	| 1.62	| 1.56	| 0.06
539	| 1.24	| 1.31	| 0.07
540	| 0.56	| 0.59	| 0.02
541	| 1.44	| 1.49	| 0.05
542	| 0.96	| 0.98	| 0.02
543	| 0.94	| 0.96	| 0.03
544	| 1.92	| 1.98	| 0.07
545	| 1.29	| 1.31	| 0.02
546	| 0.23	| 0.21	| 0.02
547	| 1.43	| 1.40	| 0.03
548	| 0.18	| 0.17	| 0.01
549	| 1.82	| 1.87	| 0.04
550	| 0.24	| 0.24	| 0.01
551	| 1.73	| 1.71	| 0.02
552	| 1.97	| 1.94	| 0.03
553	| 1.72	| 1.76	| 0.04
554	| 0.15	| 0.15	| 0.00
555	| 0.73	| 0.71	| 0.02
556	| 1.06	| 1.06	| 0.00
557	| 1.18	| 1.14	| 0.04
558	| 1.97	| 1.97	| 0.00
559	| 0.30	| 0.30	| 0.01
560	| 0.36	| 0.33	| 0.02
561	| 0.78	| 0.79	| 0.01
562	| 1.19	| 1.11	| 0.08
563	| 1.19	| 1.15	| 0.04
564	| 0.62	| 0.64	| 0.02
565	| 1.71	| 1.76	| 0.04
566	| 0.98	| 0.93	| 0.05
567	| 0.69	| 0.63	| 0.06
568	| 1.87	| 1.85	| 0.03
569	| 0.52	| 0.50	| 0.02
570	| 0.83	| 0.81	| 0.02
571	| 1.45	| 1.43	| 0.02
572	| 1.32	| 1.28	| 0.04
573	| 0.23	| 0.27	| 0.03
574	| 1.88	| 1.90	| 0.02
575	| 1.91	| 1.96	| 0.05
576	| 1.10	| 1.08	| 0.02
577	| 1.93	| 1.95	| 0.02
578	| 2.02	| 2.05	| 0.03
579	| 1.14	| 1.10	| 0.03
580	| 0.15	| 0.16	| 0.01
581	| 1.17	| 1.14	| 0.02
582	| 0.55	| 0.60	| 0.05
583	| 1.20	| 1.22	| 0.02
584	| 0.50	| 0.50	| 0.00
585	| 0.06	| 0.06	| 0.00
586	| 0.99	| 1.01	| 0.02
587	| 0.44	| 0.41	| 0.02
588	| 1.59	| 1.54	| 0.04
589	| 1.91	| 1.91	| 0.00
590	| 1.57	| 1.54	| 0.03
591	| 0.93	| 0.93	| 0.00
592	| 0.24	| 0.23	| 0.01
593	| 1.12	| 1.11	| 0.01
594	| 0.64	| 0.61	| 0.03
595	| 1.76	| 1.75	| 0.01
596	| 0.75	| 0.78	| 0.03
597	| 1.00	| 0.94	| 0.06
598	| 1.48	| 1.46	| 0.02
599	| 1.79	| 1.79	| 0.00
600	| 0.62	| 0.64	| 0.02
601	| 1.09	| 1.11	| 0.02
602	| 0.12	| 0.10	| 0.01
603	| 1.81	| 1.75	| 0.06
604	| 0.65	| 0.67	| 0.02
605	| 1.03	| 1.05	| 0.01
606	| 0.42	| 0.44	| 0.03
607	| 1.93	| 1.93	| 0.01
608	| 1.40	| 1.37	| 0.03
609	| 0.46	| 0.43	| 0.03
610	| 1.40	| 1.47	| 0.07
611	| 1.75	| 1.72	| 0.03
612	| 0.12	| 0.12	| 0.00
613	| 1.15	| 1.11	| 0.04
614	| 1.57	| 1.63	| 0.06
615	| 1.04	| 1.00	| 0.04
616	| 1.60	| 1.57	| 0.03
617	| 1.42	| 1.36	| 0.06
618	| 1.18	| 1.15	| 0.03
619	| 1.47	| 1.46	| 0.01
620	| 0.63	| 0.59	| 0.05
621	| 1.38	| 1.31	| 0.06
622	| 0.20	| 0.19	| 0.01
623	| 0.02	| 0.03	| 0.00
624	| 0.18	| 0.19	| 0.02
625	| 0.17	| 0.16	| 0.01
626	| 0.71	| 0.66	| 0.05
627	| 0.59	| 0.56	| 0.03
628	| 0.83	| 0.82	| 0.00
629	| 0.71	| 0.70	| 0.00
630	| 1.68	| 1.66	| 0.02
631	| 0.66	| 0.64	| 0.03
632	| 0.20	| 0.22	| 0.02
633	| 1.72	| 1.78	| 0.06
634	| 1.40	| 1.26	| 0.14
635	| 0.15	| 0.14	| 0.01
636	| 0.56	| 0.56	| 0.00
637	| 1.14	| 1.12	| 0.01
638	| 1.63	| 1.63	| 0.00
639	| 1.32	| 1.30	| 0.02
640	| 0.88	| 0.84	| 0.03
641	| 0.32	| 0.31	| 0.02
642	| 0.74	| 0.80	| 0.06
643	| 0.40	| 0.38	| 0.03
644	| 0.58	| 0.57	| 0.00
645	| 0.66	| 0.72	| 0.06
646	| 0.49	| 0.52	| 0.03
647	| 0.41	| 0.43	| 0.03
648	| 0.60	| 0.53	| 0.07
649	| 1.25	| 1.23	| 0.02
650	| 1.21	| 1.23	| 0.02
651	| 0.47	| 0.45	| 0.02
652	| 0.84	| 0.93	| 0.09
653	| 1.54	| 1.48	| 0.06
654	| 1.64	| 1.61	| 0.03
655	| 1.44	| 1.41	| 0.03
656	| 1.28	| 1.24	| 0.04
657	| 2.03	| 1.99	| 0.04
658	| 0.00	| 0.00	| 0.00
659	| 0.25	| 0.24	| 0.01
660	| 0.39	| 0.41	| 0.02
661	| 1.45	| 1.43	| 0.01
662	| 0.19	| 0.19	| 0.00
663	| 1.69	| 1.68	| 0.01
664	| 1.21	| 1.29	| 0.07
665	| 0.68	| 0.64	| 0.04
666	| 0.99	| 0.97	| 0.03
667	| 0.82	| 0.83	| 0.01
668	| 1.49	| 1.53	| 0.04
669	| 1.77	| 1.78	| 0.00
670	| 0.33	| 0.35	| 0.03
671	| 0.07	| 0.08	| 0.01
672	| 1.87	| 1.84	| 0.02
673	| 0.25	| 0.26	| 0.01
674	| 1.23	| 1.21	| 0.02
675	| 1.40	| 1.37	| 0.03
676	| 0.75	| 0.79	| 0.04
677	| 1.90	| 1.88	| 0.02
678	| 0.03	| 0.04	| 0.01
679	| 0.68	| 0.74	| 0.06
680	| 0.07	| 0.07	| 0.00
681	| 0.97	| 1.06	| 0.09
682	| 1.92	| 1.83	| 0.10
683	| 1.69	| 1.68	| 0.02
684	| 0.16	| 0.15	| 0.01
685	| 1.03	| 0.99	| 0.04
