Weighted Random Sampling Comparison on 100000 Trials
---------------------------------------------
Difference is bigger than 1%p in the following indices: []
Elapsed time: Naive: 966.861792ms, Fenwick: 997.026459ms, Python: 28.707154989s

---------------------------------------------
Probability(%) of each element being selected:
Element	| Naive	| Fenw	| Pyth	| Diff(Max-Min)
257	| 0.19	| 0.17	| 0.18	| 0.02
258	| 0.07	| 0.06	| 0.06	| 0.01
259	| 0.20	| 0.21	| 0.18	| 0.02
260	| 0.13	| 0.14	| 0.14	| 0.01
261	| 0.21	| 0.19	| 0.22	| 0.03
262	| 0.04	| 0.04	| 0.05	| 0.01
263	| 0.22	| 0.21	| 0.21	| 0.01
264	| 0.26	| 0.27	| 0.24	| 0.03
265	| 0.22	| 0.21	| 0.27	| 0.06
266	| 0.20	| 0.21	| 0.17	| 0.03
267	| 0.10	| 0.10	| 0.10	| 0.01
268	| 0.06	| 0.06	| 0.06	| 0.00
269	| 0.20	| 0.20	| 0.18	| 0.02
270	| 0.04	| 0.03	| 0.03	| 0.01
271	| 0.07	| 0.06	| 0.08	| 0.01
272	| 0.31	| 0.29	| 0.32	| 0.03
273	| 0.24	| 0.28	| 0.29	| 0.05
274	| 0.13	| 0.14	| 0.13	| 0.01
275	| 0.25	| 0.23	| 0.26	| 0.03
276	| 0.33	| 0.34	| 0.33	| 0.02
277	| 0.17	| 0.18	| 0.17	| 0.01
278	| 0.30	| 0.31	| 0.35	| 0.04
279	| 0.18	| 0.18	| 0.16	| 0.02
280	| 0.25	| 0.24	| 0.22	| 0.03
281	| 0.32	| 0.36	| 0.34	| 0.04
282	| 0.07	| 0.10	| 0.08	| 0.03
283	| 0.23	| 0.22	| 0.21	| 0.01
284	| 0.22	| 0.22	| 0.23	| 0.02
285	| 0.15	| 0.13	| 0.14	| 0.02
286	| 0.13	| 0.11	| 0.13	| 0.02
287	| 0.25	| 0.25	| 0.28	| 0.04
288	| 0.07	| 0.07	| 0.09	| 0.01
289	| 0.12	| 0.12	| 0.14	| 0.03
290	| 0.18	| 0.16	| 0.19	| 0.03
291	| 0.17	| 0.17	| 0.18	| 0.01
292	| 0.03	| 0.03	| 0.04	| 0.00
293	| 0.04	| 0.04	| 0.03	| 0.01
294	| 0.19	| 0.15	| 0.16	| 0.04
295	| 0.31	| 0.29	| 0.28	| 0.04
296	| 0.28	| 0.24	| 0.27	| 0.04
297	| 0.02	| 0.01	| 0.01	| 0.01
298	| 0.23	| 0.22	| 0.25	| 0.03
299	| 0.11	| 0.09	| 0.10	| 0.02
300	| 0.09	| 0.09	| 0.09	| 0.01
301	| 0.07	| 0.10	| 0.08	| 0.02
302	| 0.08	| 0.08	| 0.09	| 0.01
303	| 0.06	| 0.06	| 0.06	| 0.00
304	| 0.26	| 0.25	| 0.27	| 0.02
305	| 0.24	| 0.29	| 0.26	| 0.04
306	| 0.31	| 0.28	| 0.29	| 0.03
307	| 0.06	| 0.06	| 0.05	| 0.01
308	| 0.27	| 0.31	| 0.28	| 0.03
309	| 0.32	| 0.29	| 0.27	| 0.05
310	| 0.18	| 0.17	| 0.19	| 0.02
311	| 0.32	| 0.32	| 0.30	| 0.01
312	| 0.09	| 0.08	| 0.10	| 0.02
313	| 0.13	| 0.13	| 0.11	| 0.02
314	| 0.27	| 0.27	| 0.30	| 0.03
315	| 0.29	| 0.31	| 0.29	| 0.02
316	| 0.10	| 0.11	| 0.11	| 0.02
317	| 0.16	| 0.15	| 0.15	| 0.01
318	| 0.05	| 0.05	| 0.07	| 0.02
319	| 0.30	| 0.28	| 0.27	| 0.03
320	| 0.08	| 0.08	| 0.09	| 0.01
321	| 0.06	| 0.06	| 0.07	| 0.01
322	| 0.24	| 0.26	| 0.22	| 0.04
323	| 0.31	| 0.32	| 0.35	| 0.04
324	| 0.00	| 0.00	| 0.00	| 0.00
325	| 0.19	| 0.20	| 0.17	| 0.03
326	| 0.11	| 0.08	| 0.09	| 0.02
327	| 0.12	| 0.13	| 0.14	| 0.01
328	| 0.33	| 0.33	| 0.32	| 0.02
329	| 0.08	| 0.09	| 0.10	| 0.02
330	| 0.10	| 0.12	| 0.13	| 0.02
331	| 0.33	| 0.33	| 0.35	| 0.02
332	| 0.28	| 0.26	| 0.27	| 0.02
333	| 0.23	| 0.23	| 0.24	| 0.01
334	| 0.16	| 0.14	| 0.16	| 0.02
335	| 0.11	| 0.13	| 0.14	| 0.02
336	| 0.25	| 0.20	| 0.21	| 0.05
337	| 0.08	| 0.06	| 0.07	| 0.01
338	| 0.24	| 0.21	| 0.24	| 0.03
339	| 0.03	| 0.02	| 0.03	| 0.01
340	| 0.04	| 0.03	| 0.04	| 0.01
341	| 0.14	| 0.13	| 0.11	| 0.03
342	| 0.08	| 0.08	| 0.08	| 0.00
343	| 0.11	| 0.12	| 0.12	| 0.01
344	| 0.02	| 0.02	| 0.03	| 0.01
345	| 0.04	| 0.05	| 0.05	| 0.01
346	| 0.23	| 0.23	| 0.23	| 0.00
347	| 0.13	| 0.14	| 0.13	| 0.01
348	| 0.26	| 0.29	| 0.29	| 0.03
349	| 0.00	| 0.00	| 0.01	| 0.01
350	| 0.03	| 0.04	| 0.04	| 0.01
351	| 0.05	| 0.04	| 0.06	| 0.01
352	| 0.13	| 0.16	| 0.19	| 0.06
353	| 0.33	| 0.30	| 0.29	| 0.04
354	| 0.06	| 0.07	| 0.07	| 0.01
355	| 0.31	| 0.32	| 0.33	| 0.03
356	| 0.28	| 0.27	| 0.30	| 0.03
357	| 0.15	| 0.14	| 0.16	| 0.01
358	| 0.13	| 0.14	| 0.14	| 0.01
359	| 0.01	| 0.01	| 0.01	| 0.01
360	| 0.15	| 0.14	| 0.14	| 0.01
361	| 0.09	| 0.11	| 0.08	| 0.03
362	| 0.23	| 0.20	| 0.18	| 0.04
363	| 0.29	| 0.31	| 0.30	| 0.02
364	| 0.20	| 0.16	| 0.15	| 0.05
365	| 0.17	| 0.21	| 0.21	| 0.04
366	| 0.14	| 0.10	| 0.13	| 0.04
367	| 0.01	| 0.00	| 0.01	| 0.01
368	| 0.14	| 0.12	| 0.13	| 0.02
369	| 0.32	| 0.32	| 0.27	| 0.05
370	| 0.04	| 0.06	| 0.04	| 0.02
371	| 0.01	| 0.00	| 0.01	| 0.01
372	| 0.11	| 0.11	| 0.10	| 0.00
373	| 0.08	| 0.07	| 0.07	| 0.01
374	| 0.17	| 0.18	| 0.15	| 0.03
375	| 0.31	| 0.32	| 0.35	| 0.04
376	| 0.08	| 0.06	| 0.06	| 0.03
377	| 0.24	| 0.23	| 0.22	| 0.02
378	| 0.08	| 0.08	| 0.06	| 0.03
379	| 0.01	| 0.01	| 0.01	| 0.00
380	| 0.25	| 0.26	| 0.23	| 0.04
381	| 0.08	| 0.06	| 0.05	| 0.03
382	| 0.29	| 0.26	| 0.25	| 0.04
383	| 0.04	| 0.05	| 0.05	| 0.02
384	| 0.10	| 0.08	| 0.08	| 0.02
385	| 0.32	| 0.35	| 0.34	| 0.03
386	| 0.15	| 0.15	| 0.16	| 0.02
387	| 0.17	| 0.18	| 0.18	| 0.00
388	| 0.01	| 0.01	| 0.01	| 0.01
389	| 0.32	| 0.31	| 0.34	| 0.03
390	| 0.11	| 0.12	| 0.14	| 0.03
391	| 0.33	| 0.33	| 0.33	| 0.01
392	| 0.23	| 0.22	| 0.20	| 0.03
393	| 0.06	| 0.07	| 0.07	| 0.01
394	| 0.19	| 0.16	| 0.19	| 0.03
395	| 0.14	| 0.14	| 0.14	| 0.00
396	| 0.13	| 0.14	| 0.14	| 0.02
397	| 0.29	| 0.30	| 0.28	| 0.02
398	| 0.17	| 0.18	| 0.17	| 0.01
399	| 0.07	| 0.07	| 0.07	| 0.00
400	| 0.04	| 0.04	| 0.04	| 0.00
401	| 0.29	| 0.30	| 0.31	| 0.02
402	| 0.16	| 0.14	| 0.16	| 0.02
403	| 0.08	| 0.09	| 0.10	| 0.02
404	| 0.18	| 0.18	| 0.18	| 0.01
405	| 0.30	| 0.29	| 0.29	| 0.02
406	| 0.17	| 0.15	| 0.18	| 0.02
407	| 0.20	| 0.17	| 0.16	| 0.04
408	| 0.18	| 0.20	| 0.21	| 0.03
409	| 0.10	| 0.11	| 0.10	| 0.01
410	| 0.21	| 0.18	| 0.21	| 0.03
411	| 0.06	| 0.07	| 0.05	| 0.02
412	| 0.18	| 0.18	| 0.21	| 0.03
413	| 0.22	| 0.20	| 0.21	| 0.02
414	| 0.31	| 0.32	| 0.28	| 0.04
415	| 0.07	| 0.06	| 0.06	| 0.00
416	| 0.11	| 0.15	| 0.14	| 0.05
417	| 0.10	| 0.09	| 0.10	| 0.01
418	| 0.18	| 0.17	| 0.17	| 0.01
419	| 0.29	| 0.30	| 0.28	| 0.02
420	| 0.11	| 0.13	| 0.13	| 0.02
421	| 0.30	| 0.29	| 0.31	| 0.02
422	| 0.12	| 0.12	| 0.13	| 0.01
423	| 0.03	| 0.03	| 0.03	| 0.01
424	| 0.23	| 0.21	| 0.21	| 0.02
425	| 0.11	| 0.10	| 0.09	| 0.01
426	| 0.27	| 0.27	| 0.25	| 0.02
427	| 0.00	| 0.00	| 0.00	| 0.00
428	| 0.11	| 0.14	| 0.13	| 0.02
429	| 0.29	| 0.30	| 0.28	| 0.02
430	| 0.28	| 0.31	| 0.30	| 0.03
431	| 0.13	| 0.12	| 0.12	| 0.01
432	| 0.31	| 0.27	| 0.25	| 0.06
433	| 0.18	| 0.20	| 0.19	| 0.01
434	| 0.02	| 0.02	| 0.03	| 0.01
435	| 0.07	| 0.08	| 0.06	| 0.02
436	| 0.21	| 0.18	| 0.18	| 0.03
437	| 0.20	| 0.18	| 0.21	| 0.03
438	| 0.21	| 0.18	| 0.18	| 0.03
439	| 0.21	| 0.18	| 0.19	| 0.02
440	| 0.12	| 0.18	| 0.16	| 0.05
441	| 0.24	| 0.26	| 0.26	| 0.02
442	| 0.26	| 0.27	| 0.26	| 0.01
443	| 0.07	| 0.05	| 0.06	| 0.02
444	| 0.04	| 0.05	| 0.04	| 0.01
445	| 0.07	| 0.07	| 0.09	| 0.02
446	| 0.24	| 0.20	| 0.19	| 0.04
447	| 0.04	| 0.04	| 0.03	| 0.01
448	| 0.03	| 0.03	| 0.03	| 0.00
449	| 0.18	| 0.16	| 0.15	| 0.03
450	| 0.30	| 0.26	| 0.29	| 0.04
451	| 0.09	| 0.09	| 0.09	| 0.01
452	| 0.13	| 0.13	| 0.12	| 0.01
453	| 0.18	| 0.17	| 0.17	| 0.01
454	| 0.03	| 0.03	| 0.03	| 0.01
455	| 0.33	| 0.31	| 0.29	| 0.03
456	| 0.15	| 0.13	| 0.13	| 0.02
457	| 0.16	| 0.16	| 0.13	| 0.03
458	| 0.09	| 0.11	| 0.09	| 0.02
459	| 0.08	| 0.08	| 0.09	| 0.01
460	| 0.25	| 0.25	| 0.25	| 0.00
461	| 0.26	| 0.25	| 0.29	| 0.04
462	| 0.08	| 0.07	| 0.06	| 0.02
463	| 0.10	| 0.12	| 0.11	| 0.02
464	| 0.01	| 0.01	| 0.02	| 0.01
465	| 0.18	| 0.18	| 0.19	| 0.02
466	| 0.30	| 0.29	| 0.30	| 0.01
467	| 0.31	| 0.35	| 0.32	| 0.03
468	| 0.18	| 0.15	| 0.16	| 0.02
469	| 0.15	| 0.17	| 0.16	| 0.02
470	| 0.06	| 0.04	| 0.06	| 0.02
471	| 0.08	| 0.11	| 0.09	| 0.03
472	| 0.13	| 0.12	| 0.14	| 0.01
473	| 0.21	| 0.21	| 0.19	| 0.02
474	| 0.33	| 0.31	| 0.26	| 0.07
475	| 0.32	| 0.36	| 0.32	| 0.04
476	| 0.10	| 0.10	| 0.09	| 0.01
477	| 0.13	| 0.13	| 0.14	| 0.01
478	| 0.33	| 0.34	| 0.35	| 0.02
479	| 0.04	| 0.03	| 0.04	| 0.01
480	| 0.09	| 0.08	| 0.07	| 0.02
481	| 0.03	| 0.03	| 0.04	| 0.01
482	| 0.04	| 0.05	| 0.06	| 0.01
483	| 0.05	| 0.06	| 0.07	| 0.02
484	| 0.34	| 0.31	| 0.29	| 0.04
485	| 0.28	| 0.23	| 0.26	| 0.04
486	| 0.27	| 0.28	| 0.27	| 0.01
487	| 0.23	| 0.21	| 0.24	| 0.03
488	| 0.21	| 0.23	| 0.19	| 0.04
489	| 0.07	| 0.08	| 0.05	| 0.03
490	| 0.14	| 0.14	| 0.13	| 0.01
491	| 0.05	| 0.05	| 0.04	| 0.01
492	| 0.08	| 0.07	| 0.08	| 0.02
493	| 0.24	| 0.24	| 0.22	| 0.02
494	| 0.22	| 0.21	| 0.25	| 0.04
495	| 0.00	| 0.00	| 0.00	| 0.00
496	| 0.03	| 0.02	| 0.03	| 0.01
497	| 0.17	| 0.16	| 0.19	| 0.03
498	| 0.28	| 0.31	| 0.32	| 0.03
499	| 0.00	| 0.00	| 0.00	| 0.00
500	| 0.25	| 0.25	| 0.24	| 0.01
501	| 0.26	| 0.26	| 0.27	| 0.01
502	| 0.06	| 0.07	| 0.08	| 0.01
503	| 0.16	| 0.14	| 0.12	| 0.03
504	| 0.15	| 0.14	| 0.17	| 0.03
505	| 0.09	| 0.09	| 0.09	| 0.00
506	| 0.17	| 0.18	| 0.17	| 0.02
507	| 0.34	| 0.33	| 0.35	| 0.02
508	| 0.04	| 0.03	| 0.03	| 0.01
509	| 0.19	| 0.18	| 0.21	| 0.03
510	| 0.07	| 0.07	| 0.06	| 0.01
511	| 0.07	| 0.07	| 0.08	| 0.00
512	| 0.28	| 0.28	| 0.28	| 0.00
513	| 0.29	| 0.28	| 0.27	| 0.02
514	| 0.08	| 0.08	| 0.08	| 0.00
515	| 0.10	| 0.10	| 0.11	| 0.01
516	| 0.20	| 0.23	| 0.22	| 0.03
517	| 0.26	| 0.27	| 0.27	| 0.01
518	| 0.33	| 0.30	| 0.30	| 0.03
519	| 0.16	| 0.13	| 0.14	| 0.03
520	| 0.17	| 0.15	| 0.16	| 0.02
521	| 0.19	| 0.19	| 0.17	| 0.02
522	| 0.21	| 0.19	| 0.21	| 0.03
523	| 0.15	| 0.17	| 0.19	| 0.04
524	| 0.10	| 0.09	| 0.10	| 0.01
525	| 0.29	| 0.26	| 0.24	| 0.05
